iter	Passed	Remaining
0	149	149624
1	150	75290
2	152	50564
3	156	38895
4	157	31326
5	158	26285
6	162	23096
7	163	20311
8	164	18127
9	178	17687
10	179	16163
11	181	14920
12	182	13823
13	186	13144
14	187	12339
15	190	11707
16	193	11160
17	194	10590
18	195	10069
19	196	9641
20	199	9283
21	200	8897
22	201	8562
23	202	8231
24	203	7926
25	204	7660
26	205	7410
27	208	7232
28	210	7032
29	211	6842
30	212	6640
31	214	6477
32	218	6404
33	219	6239
34	226	6239
35	233	6254
36	235	6120
37	236	5975
38	237	5853
39	238	5725
40	239	5598
41	240	5477
42	245	5456
43	246	5360
44	250	5314
45	253	5247
46	254	5150
47	254	5055
48	262	5091
49	263	5005
50	265	4931
51	267	4875
52	269	4824
53	271	4748
54	272	4675
55	273	4602
56	273	4530
57	274	4464
58	280	4472
59	282	4426
60	284	4377
61	285	4314
62	286	4253
63	286	4193
64	287	4134
65	288	4078
66	288	4022
67	289	3967
68	294	3972
69	296	3941
70	297	3895
71	298	3845
72	298	3796
73	299	3750
74	300	3703
75	302	3674
76	309	3713
77	311	3681
78	312	3642
79	314	3618
80	315	3581
81	317	3559
82	318	3517
83	327	3575
84	328	3540
85	329	3503
86	330	3466
87	330	3430
88	331	3396
89	332	3362
90	334	3337
91	335	3309
92	342	3343
93	343	3311
94	344	3280
95	345	3249
96	345	3218
97	346	3188
98	347	3158
99	347	3128
100	348	3106
101	349	3079
102	358	3126
103	360	3109
104	361	3083
105	362	3056
106	363	3031
107	371	3071
108	375	3071
109	376	3048
110	377	3025
111	378	3000
112	379	2978
113	386	3007
114	388	2991
115	389	2968
116	390	2944
117	390	2921
118	391	2898
119	392	2876
120	404	2936
121	405	2915
122	406	2895
123	407	2875
124	407	2854
125	408	2836
126	420	2892
127	422	2875
128	423	2856
129	423	2837
130	424	2817
131	429	2824
132	431	2810
133	433	2802
134	435	2791
135	436	2772
136	437	2754
137	438	2736
138	438	2717
139	445	2739
140	446	2722
141	447	2705
142	449	2692
143	450	2675
144	450	2658
145	451	2641
146	452	2624
147	454	2616
148	463	2648
149	465	2639
150	466	2625
151	467	2610
152	468	2596
153	470	2583
154	480	2621
155	482	2612
156	484	2599
157	485	2586
158	492	2605
159	493	2592
160	494	2575
161	495	2562
162	496	2550
163	497	2537
164	498	2524
165	500	2514
166	501	2500
167	507	2515
168	509	2503
169	510	2491
170	511	2478
171	516	2488
172	519	2481
173	520	2469
174	521	2458
175	523	2450
176	524	2438
177	526	2429
178	534	2453
179	537	2450
180	539	2441
181	540	2429
182	541	2418
183	549	2437
184	554	2441
185	555	2430
186	556	2419
187	557	2409
188	562	2413
189	564	2407
190	565	2395
191	566	2384
192	568	2376
193	569	2367
194	571	2360
195	573	2353
196	574	2343
197	579	2348
198	581	2342
199	582	2330
200	587	2334
201	589	2327
202	590	2316
203	596	2327
204	597	2317
205	598	2306
206	599	2295
207	600	2285
208	601	2276
209	602	2265
210	603	2255
211	603	2244
212	604	2234
213	605	2223
214	614	2245
215	616	2236
216	618	2231
217	619	2222
218	620	2213
219	628	2229
220	632	2230
221	633	2221
222	634	2211
223	635	2201
224	636	2192
225	644	2206
226	646	2202
227	647	2192
228	648	2183
229	649	2174
230	650	2164
231	651	2155
232	659	2171
233	662	2167
234	663	2159
235	664	2149
236	664	2140
237	665	2131
238	674	2148
239	677	2146
240	679	2140
241	680	2132
242	681	2124
243	687	2131
244	696	2146
245	697	2139
246	713	2175
247	720	2183
248	722	2180
249	724	2173
250	725	2164
251	726	2157
252	732	2162
253	733	2155
254	734	2146
255	735	2138
256	751	2173
257	752	2165
258	755	2162
259	761	2166
260	764	2165
261	766	2157
262	767	2149
263	768	2142
264	773	2146
265	779	2151
266	782	2148
267	783	2141
268	784	2132
269	785	2124
270	786	2116
271	787	2108
272	788	2100
273	793	2103
274	798	2105
275	799	2098
276	800	2090
277	801	2082
278	802	2074
279	803	2066
280	804	2058
281	808	2058
282	810	2054
283	812	2047
284	812	2039
285	814	2033
286	815	2025
287	816	2017
288	817	2010
289	819	2005
290	819	1997
291	831	2017
292	833	2010
293	834	2003
294	836	1998
295	845	2010
296	846	2004
297	847	1997
298	848	1990
299	849	1983
300	857	1990
301	861	1991
302	862	1984
303	863	1977
304	864	1969
305	865	1962
306	865	1954
307	867	1949
308	869	1945
309	871	1938
310	872	1933
311	873	1926
312	874	1919
313	875	1912
314	876	1905
315	877	1898
316	878	1893
317	880	1887
318	886	1891
319	888	1887
320	889	1880
321	890	1874
322	891	1868
323	892	1861
324	893	1855
325	894	1848
326	900	1853
327	904	1853
328	906	1848
329	906	1841
330	907	1834
331	908	1828
332	909	1822
333	910	1815
334	919	1825
335	921	1821
336	922	1815
337	923	1809
338	924	1803
339	937	1820
340	939	1814
341	940	1808
342	941	1803
343	948	1808
344	949	1803
345	952	1799
346	953	1794
347	954	1788
348	955	1783
349	963	1789
350	964	1783
351	965	1777
352	966	1770
353	969	1768
354	977	1776
355	979	1771
356	980	1765
357	981	1759
358	982	1753
359	987	1755
360	991	1755
361	993	1750
362	994	1745
363	995	1739
364	996	1733
365	999	1731
366	1013	1748
367	1014	1743
368	1015	1737
369	1017	1732
370	1023	1735
371	1026	1733
372	1028	1728
373	1029	1723
374	1030	1717
375	1031	1711
376	1032	1705
377	1033	1700
378	1042	1707
379	1044	1704
380	1045	1699
381	1046	1693
382	1047	1687
383	1055	1693
384	1058	1690
385	1059	1685
386	1060	1680
387	1061	1674
388	1062	1668
389	1063	1663
390	1075	1674
391	1076	1669
392	1077	1664
393	1078	1658
394	1079	1653
395	1087	1658
396	1091	1658
397	1093	1653
398	1094	1648
399	1107	1661
400	1110	1658
401	1111	1653
402	1114	1651
403	1125	1660
404	1133	1665
405	1135	1661
406	1149	1675
407	1152	1672
408	1153	1666
409	1154	1661
410	1155	1656
411	1163	1660
412	1167	1659
413	1169	1655
414	1170	1649
415	1171	1644
416	1179	1648
417	1183	1647
418	1185	1643
419	1187	1639
420	1188	1634
421	1191	1632
422	1193	1627
423	1194	1622
424	1195	1617
425	1197	1613
426	1202	1613
427	1205	1610
428	1206	1605
429	1207	1600
430	1208	1595
431	1210	1591
432	1211	1586
433	1212	1581
434	1217	1581
435	1219	1577
436	1220	1572
437	1221	1567
438	1222	1562
439	1224	1558
440	1225	1553
441	1238	1564
442	1242	1561
443	1243	1557
444	1252	1561
445	1257	1562
446	1258	1557
447	1259	1552
448	1264	1552
449	1266	1547
450	1275	1552
451	1282	1555
452	1288	1555
453	1290	1552
454	1300	1557
455	1302	1553
456	1303	1548
457	1306	1545
458	1310	1544
459	1312	1540
460	1313	1536
461	1315	1531
462	1317	1527
463	1328	1534
464	1329	1530
465	1332	1526
466	1333	1521
467	1338	1521
468	1340	1517
469	1341	1513
470	1344	1510
471	1348	1508
472	1349	1503
473	1354	1503
474	1357	1500
475	1358	1495
476	1359	1490
477	1360	1485
478	1361	1481
479	1363	1476
480	1364	1472
481	1365	1467
482	1376	1473
483	1377	1468
484	1379	1464
485	1388	1468
486	1390	1464
487	1391	1460
488	1392	1455
489	1393	1450
490	1404	1455
491	1406	1452
492	1408	1448
493	1409	1443
494	1410	1439
495	1411	1434
496	1417	1435
497	1420	1431
498	1421	1427
499	1422	1422
500	1423	1418
501	1428	1416
502	1431	1414
503	1432	1409
504	1434	1405
505	1435	1401
506	1436	1396
507	1437	1392
508	1438	1387
509	1441	1385
510	1443	1381
511	1444	1376
512	1445	1372
513	1447	1368
514	1449	1364
515	1450	1360
516	1458	1362
517	1460	1358
518	1461	1354
519	1462	1349
520	1463	1345
521	1464	1341
522	1466	1337
523	1467	1333
524	1471	1331
525	1472	1327
526	1474	1323
527	1475	1319
528	1478	1316
529	1481	1313
530	1482	1309
531	1483	1305
532	1495	1309
533	1496	1305
534	1497	1301
535	1498	1297
536	1499	1293
537	1508	1295
538	1510	1291
539	1511	1287
540	1513	1283
541	1523	1287
542	1524	1283
543	1526	1279
544	1527	1275
545	1528	1271
546	1536	1272
547	1539	1269
548	1540	1265
549	1544	1263
550	1546	1260
551	1548	1256
552	1550	1252
553	1551	1249
554	1554	1246
555	1557	1243
556	1558	1239
557	1559	1235
558	1568	1237
559	1570	1234
560	1572	1230
561	1573	1226
562	1574	1222
563	1582	1223
564	1586	1221
565	1588	1217
566	1589	1214
567	1591	1210
568	1596	1209
569	1597	1205
570	1602	1204
571	1604	1200
572	1605	1196
573	1610	1195
574	1614	1193
575	1616	1190
576	1618	1186
577	1619	1182
578	1620	1178
579	1626	1177
580	1629	1175
581	1632	1172
582	1634	1168
583	1635	1164
584	1636	1160
585	1642	1160
586	1644	1157
587	1645	1153
588	1646	1149
589	1649	1146
590	1661	1149
591	1663	1146
592	1665	1143
593	1673	1143
594	1676	1141
595	1678	1137
596	1679	1133
597	1680	1129
598	1683	1126
599	1691	1127
600	1692	1123
601	1693	1119
602	1695	1115
603	1696	1112
604	1698	1108
605	1700	1105
606	1704	1103
607	1705	1099
608	1708	1097
609	1712	1095
610	1714	1091
611	1720	1090
612	1722	1087
613	1726	1085
614	1727	1081
615	1733	1080
616	1735	1077
617	1736	1073
618	1737	1069
619	1738	1065
620	1739	1061
621	1741	1058
622	1742	1054
623	1746	1052
624	1748	1048
625	1755	1048
626	1756	1044
627	1757	1040
628	1758	1037
629	1764	1036
630	1766	1032
631	1767	1029
632	1768	1025
633	1769	1021
634	1770	1017
635	1770	1013
636	1771	1009
637	1773	1006
638	1778	1004
639	1781	1001
640	1782	998
641	1783	994
642	1784	990
643	1785	986
644	1786	983
645	1788	980
646	1797	980
647	1802	979
648	1803	975
649	1813	976
650	1815	973
651	1816	969
652	1817	965
653	1818	962
654	1819	958
655	1829	959
656	1831	956
657	1832	952
658	1833	948
659	1834	945
660	1835	941
661	1840	939
662	1841	936
663	1842	932
664	1844	929
665	1846	925
666	1847	922
667	1848	918
668	1848	914
669	1849	911
670	1850	907
671	1856	906
672	1858	902
673	1859	899
674	1860	895
675	1861	892
676	1862	888
677	1863	884
678	1863	881
679	1865	877
680	1866	874
681	1871	872
682	1872	868
683	1873	865
684	1874	861
685	1875	858
686	1876	854
687	1877	851
688	1878	847
689	1879	844
690	1879	840
691	1880	836
692	1884	834
693	1886	831
694	1887	828
695	1887	824
696	1888	821
697	1889	817
698	1893	815
699	1894	811
700	1895	808
701	1901	807
702	1902	803
703	1904	800
704	1906	797
705	1907	794
706	1908	790
707	1910	787
708	1911	784
709	1914	782
710	1916	779
711	1917	775
712	1918	772
713	1919	768
714	1919	765
715	1920	761
716	1921	758
717	1922	755
718	1923	751
719	1924	748
720	1925	745
721	1926	741
722	1931	740
723	1932	736
724	1933	733
725	1935	730
726	1936	727
727	1937	723
728	1938	720
729	1939	717
730	1939	713
731	1940	710
732	1943	707
733	1945	705
734	1946	701
735	1947	698
736	1948	695
737	1949	692
738	1950	688
739	1951	685
740	1951	682
741	1952	678
742	1953	675
743	1954	672
744	1955	669
745	1956	666
746	1958	663
747	1959	660
748	1960	657
749	1962	654
750	1963	650
751	1964	647
752	1965	644
753	1973	643
754	1974	640
755	1974	637
756	1975	634
757	1976	631
758	1977	627
759	1980	625
760	1981	622
761	1982	619
762	1983	616
763	1989	614
764	1990	611
765	1992	608
766	1993	605
767	1994	602
768	1995	599
769	1996	596
770	2005	595
771	2006	592
772	2007	589
773	2008	586
774	2008	583
775	2009	580
776	2010	577
777	2011	573
778	2012	570
779	2013	567
780	2013	564
781	2014	561
782	2016	558
783	2018	556
784	2019	553
785	2020	550
786	2021	547
787	2021	543
788	2022	540
789	2023	537
790	2024	534
791	2024	531
792	2025	528
793	2026	525
794	2027	522
795	2027	519
796	2028	516
797	2030	513
798	2031	511
799	2032	508
800	2033	505
801	2034	502
802	2035	499
803	2035	496
804	2036	493
805	2040	491
806	2041	488
807	2041	485
808	2042	482
809	2043	479
810	2044	476
811	2047	473
812	2048	471
813	2049	468
814	2050	465
815	2051	462
816	2052	459
817	2052	456
818	2053	453
819	2054	450
820	2055	448
821	2055	445
822	2056	442
823	2057	439
824	2057	436
825	2058	433
826	2059	430
827	2061	428
828	2063	425
829	2063	422
830	2064	419
831	2065	417
832	2066	414
833	2067	411
834	2067	408
835	2068	405
836	2069	402
837	2070	400
838	2070	397
839	2071	394
840	2072	391
841	2072	388
842	2073	386
843	2075	383
844	2076	380
845	2077	378
846	2078	375
847	2079	372
848	2080	369
849	2080	367
850	2081	364
851	2082	361
852	2083	359
853	2084	356
854	2084	353
855	2085	350
856	2086	348
857	2087	345
858	2088	342
859	2089	340
860	2090	337
861	2092	334
862	2093	332
863	2094	329
864	2095	327
865	2096	324
866	2098	321
867	2099	319
868	2099	316
869	2100	313
870	2101	311
871	2102	308
872	2102	305
873	2103	303
874	2105	300
875	2107	298
876	2108	295
877	2109	293
878	2110	290
879	2111	287
880	2111	285
881	2112	282
882	2113	280
883	2114	277
884	2114	274
885	2115	272
886	2116	269
887	2117	267
888	2118	264
889	2120	262
890	2121	259
891	2122	257
892	2123	254
893	2124	251
894	2125	249
895	2125	246
896	2126	244
897	2127	241
898	2128	239
899	2129	236
900	2129	234
901	2130	231
902	2131	228
903	2132	226
904	2133	223
905	2136	221
906	2137	219
907	2138	216
908	2139	214
909	2140	211
910	2141	209
911	2141	206
912	2142	204
913	2143	201
914	2144	199
915	2144	196
916	2145	194
917	2146	191
918	2147	189
919	2153	187
920	2154	184
921	2155	182
922	2156	179
923	2157	177
924	2157	174
925	2158	172
926	2159	170
927	2160	167
928	2160	165
929	2161	162
930	2162	160
931	2164	157
932	2166	155
933	2167	153
934	2168	150
935	2168	148
936	2169	145
937	2170	143
938	2171	141
939	2171	138
940	2172	136
941	2173	133
942	2174	131
943	2174	129
944	2175	126
945	2176	124
946	2177	121
947	2178	119
948	2179	117
949	2181	114
950	2182	112
951	2183	110
952	2184	107
953	2185	105
954	2186	103
955	2187	100
956	2188	98
957	2189	95
958	2190	93
959	2190	91
960	2191	88
961	2192	86
962	2193	84
963	2196	82
964	2197	79
965	2198	77
966	2199	75
967	2199	72
968	2200	70
969	2201	68
970	2202	65
971	2202	63
972	2203	61
973	2204	58
974	2205	56
975	2207	54
976	2210	52
977	2211	49
978	2212	47
979	2212	45
980	2213	42
981	2214	40
982	2215	38
983	2216	36
984	2216	33
985	2217	31
986	2218	29
987	2219	26
988	2219	24
989	2220	22
990	2221	20
991	2224	17
992	2225	15
993	2226	13
994	2227	11
995	2228	8
996	2229	6
997	2230	4
998	2231	2
999	2232	0
